cloverID,cloverName,iParent,iSelectionName,iPrice,iListPrice,iStock,iSell
GJZ6DRZF2FAQ0,3M Wet or Dry Sheets P320,,,5249,,10,1
9CD1PHT4ZQE8E,3M 1000 Trizact,,,9200,,1,1
1QBF1AFZ4DR5G,3000 Trizact,,,8515,,1,1
DAPR6RRKNTM70,"3M 6"" P3000 Hookit Trizact Clean and Sand FOAM DISC",,,11250,,-3,1
MCS3H67J7A27C,"3M 6"" P1500 Hookit Trizact Clean and Sand CLEAR COAT DISC",,,7960,,-2,1
P2HP620Y7N62P,"3M 6"" P1000 Hookit Trizact Clean and Sand BLENDING DISC",,,13387,,1,1
921FEQDAKYA7T,System one spot buffing pads kit,,,3300,,-1,1
CFWET246XGNS6,500 paper 3m,,,4295,,3,1
29RQZFV9K3PQE,320 paper 3m,,,4295,,2,1
0QCNW1KERWBMG,"3M  2-3/4""x25yd P500 Stikit GOLD Roll",,,5753,,0,1
BEAKN2ZNN84PE,"3M  2-3/4""x25yd P400 Stikit GOLD Roll",,,5753,,-1,1
75B3KZ5QW71QJ,"3M  2-3/4""x25yd P320 Stikit GOLD Roll",,,5753,,-6,1
VKFRYXA9WS1N4,"3M  2-3/4""x25yd P220 Stikit GOLD Roll",,,5753,,-3,1
86EW11S9X2M9E,"3M  2-3/4""x25yd P180 Stikit GOLD Roll",,,5773,,-2,1
NH0M6BERE4N6R,Sanding Sponge- Ultra Fine,,,5136,,0,1
5BTRDHRM20W30,SANDING SPONGE-SUPERFINE,,,5136,,0,1
G7ZQYEP3S6XG4,2oz HDPE Cylinders 24/410 HDPE (1000/Ea),,,60,,917,1
15D1ZD723X8ZR,2oz Cylinder Only (1000/Ea),,,60,,3038,1
P05P9J08SA6MP,MCKANICA SEAM SEALER WHITE,,,650,,0,1
F0BZSA5PMW3H2,JATech 3 Way Universal Stainless Manifold,03W-USF-A-202N-A-40,,4245,0,5,1
QD6S0YJ81EDJE,SEM Finish Line Striping Reducer 8oz,,,1020,,0,1
VXQHRDBBBGG7J,SEM Finish Line Striping Catalyst 8oz,,,1950,,2,1
8NC8PRFHF4KRT,SEM Finish Line Striping Urethane Silver 4oz.,,,1486,,0,1
MZDVMTYSMJZAM,SEM Finish Line Striping Urethane Gold 4oz.,,,1486,,0,1
VAERZPGGC0PRC,SEM Finish Line Striping Urethane Black 4oz.,,,1486,,0,1
7YEBG7FVPRRZY,SEM Finish Line Striping Urethane Bright Red 4oz.,,,1950,,0,1
S8Y2J3Q46ZXAT,SEM Finish Line Striping Urethane Bright Yellow 4oz.,,,1950,,1,1
RGDYDK60HB5FE,SEM Finish Line Striping Urethane Bright Orange 4oz.,,,1950,,1,1
9JJYQ24W1ZJK0,SEM Finish Line Striping Urethane Imitation Gold 4oz.,,,1950,,6,1
X4C3M77TRXCW8,SEM Finish Line Striping Urethane Process Blue 4oz.,,,1950,,2,1
X3BWEPSVDP2KM,SEM Finish Line Striping Urethane Process Green 4oz.,,,1950,,3,1
ANASKPTW7H7GJ,SEM Finish Line Striping Urethane Medium Gray 4oz.,,,1950,,1,1
JV05K27AM2PT0,SEM Finish Line Striping Urethane Purple 4oz.,,,1950,,6,1
CJE4PZHXHRTR4,SEM Finish Line Striping Urethane Magenta 4oz.,,,1950,,3,1
KJXYD3NAN95EW,4oz CYLINDER 24/410 NAT HDPE Bottle (950/Ea),,,70,,5615,1
YYFPFG9EA66DA,4oz Bottle Only,,,70,,4613,1
QB4PJ1XA7DPQY,DA 3M Back Plate,05276,,2661,0,-1,1
EV0V2S0MEKHCW,"6"" SOFT INTERFACE PAD",,,1080,,0,1
N7B9HM4TD85TT,3M Hookit II Disc Pad 6,05286,,2600,0,0,1
DGGBJARC8YE3J,"2 3/4 in x 5 in, StikitHa; in x 5in 10 per case",,,2047,,1,1
JX1FCKZ5JNWPW,"3M Hookit 6"" Clean Sand SOFT Pad (PURPLE)",05551,,4886,0,-1,1
QT2CQ42PZM2E8,3M Superbuff Wool Pad  III 2+2,,,4035,,0,1
BCFCYSK0QCPD4,3M PERFICT-IT POLISHING PAD,05707,,3495,0,-1,1
PW2X1B7GWJD4A,3M FOAM POLISING PAD FINE,05708,,2793,0,-2,1
2T8D2VB0HMCB2,3M Superbuff Adapter,05710,,1339,0,3,1
34ECMQ2SYS3FP,3M Hookit Plus Compounding Pad,,,1395,,3,1
