Clover ID,Name,Alternate Name,Price,Price Type,Price Unit,Tax Rates,Cost,Product Code,SKU,Modifier Groups,Quantity,Labels,Hidden,Non-revenue item,iParent,iSelectionName
1AEYQZ49WB0S0,"3M 6"" P400 Stikit Gold Disk 75/Roll",,4730,Fixed,,DEFAULT,30.73,,01203,,-1,,No,No,,
1J3NHEMVNVT7G,"3M 6"" P320 Stikit Gold Disk 75/Roll",,4730,Fixed,,DEFAULT,0.00,,01205,,2,,No,No,,
2THV5RBQGJD8M,"3M 6"" P280 Stikit Gold Disk 75/Roll",,4730,Fixed,,DEFAULT,0.00,,01206,,,,No,No,,
66SBXP49HRHHM,"3M 6"" P220 Stikit Gold Disk 75/Roll",,4730,Fixed,,DEFAULT,32.65,,01208,,,,No,No,,
TA4G2JJ6WQMQG,"3M 6"" P180 Stikit Gold Disk 75/Roll",,4730,Fixed,,DEFAULT,0.00,,01209,,1,,No,No,,
TKA010KARMV2R,"3M 6"" P120 Stikit Gold Disk 75/Roll",,4730,Fixed,,DEFAULT,31.57,,01211,,1,,No,No,,
XEWCY0JXY8KQG,"3M 6"" P500 Stikit Gold Disk 175/Roll",,10966,Fixed,,DEFAULT,0.00,,01432,,1,,No,No,,
F2YM98E0D9564,"3M 6"" P360 Stikit Gold Disk 175/Roll",,10966,Fixed,,DEFAULT,0.00,,01433,,2,,No,No,,
5CXE6YGJTF6MC,"3M 6"" P400 Stikit Gold Disk 175/Roll",,10966,Fixed,,DEFAULT,0.00,,01434,,1,,No,No,,
4C85BGA5PYH74,"3M 6"" P320 Stikit Gold Disk 175/Roll",,10966,Fixed,,DEFAULT,0.00,,01435,,,,No,No,,
YM70H6AYYB4S0,"3M 6"" P280 Stikit Gold Disk 175/Roll",,10966,Fixed,,DEFAULT,0.00,,01436,,1,,No,No,,
GVT4S5RKB845J,"3M 6"" P220 Stikit Gold Disk 175/Roll",,10966,Fixed,,DEFAULT,0.00,,01438,,1,,No,No,,
567BEQSA95XE4,"3M 6"" P180 Stikit Gold Disk 175/Roll",,10966,Fixed,,DEFAULT,0.00,,01439,,,,No,No,,
5AYWNVYCMTHRC,"3M 6"" P150 Stikit Gold Disk 175/Roll",,11425,Fixed,,DEFAULT,0.00,,01440,,,,No,No,,
668HKRF9ANMKT,"3M 6"" P120 Stikit Gold Disk 125/Roll",,7834,Fixed,,DEFAULT,0.00,,01441,,,,No,No,,
JYV8E4PMMSEK8,3M Stikit Gold Disc Roll P80 Grit 125 Pads,,7512,Fixed,,DEFAULT,0.00,,01443,,,,No,No,,
09S3JRT7MYK1R,DeVilbiss in line disposable filter,,699,Fixed,,DEFAULT,0.00,,01694,,25,,No,No,,
7WVYXXHZK04N2,"3M 6"" P500 Hookit Clean Sand PURP",,4538,Fixed,,DEFAULT,30.29,051131018105,01810,,,,No,No,,
WZP0ER4W4Y70G,"3M 6"" P400 Hookit Clean Sand PURP",,4538,Fixed,,DEFAULT,31.48,051131018112,01811,,5,,No,No,,
1CQ9N6GQCSADY,"3M 6"" P320 Hookit Clean Sand PURP",,4538,Fixed,,DEFAULT,31.48,051131018129,01812,,3,,No,No,,
HDK07DFPJZNSR,"3M 6"" P220 Hookit Clean Sand PURP",,4538,Fixed,,DEFAULT,31.48,,01815,,1,,No,No,,
QGZRQNQ9ZS7ZW,"3M 6"" P180 Hookit Clean Sand PURP",,4538,Fixed,,DEFAULT,30.29,,01816,,3,,No,No,,
SX97M0J8400SY,"3M 6"" P150 Hookit Clean Sand PURP",,4886,Fixed,,DEFAULT,31.48,,01817,,1,,No,No,,
MZD2S4KK4JR8E,"3M 6"" P80 Hookit Clean Sand PURP",,5430,Fixed,,DEFAULT,0.00,,01820,,,,No,No,,
2HY1GQ2NT5SWR,1 oz Cylinder 20/410 HDPE Bottle,,50,Fixed,,DEFAULT,0.06,,01C20HN,,3784,,No,No,,
7WGW5M57Q9W18,1oz Cylinder Only,,50,Fixed,,DEFAULT,0.03,,01C20HN:1OZ-Bottle,,2737,,No,No,,
3XE62FYM02HBJ,Holbien 02 AeroFlash Transparent Carmine 1oz,,880,Fixed,,DEFAULT,4.70,4900669060024,02-01,,7,,No,No,,
KQNM5MEGZ5ZJA,3M Wet or Dry Sheets 320A,,5108,Fixed,,DEFAULT,34.96,,02004,,,,No,No,,
8ZZ6JEBPETTVR,3M Wet/Dry  P800A 50pack,,6109,Fixed,,DEFAULT,35.21,051131020351,02035,,4,,No,No,,
GJZ6DRZF2FAQ0,3M Wet or Dry Sheets P320,,5249,Fixed,,DEFAULT,34.41,,02040,,10,,No,No,,
9CD1PHT4ZQE8E,3M 1000 Trizact,,9200,Fixed,,DEFAULT,0.00,,02066,,1,,No,No,,
