"Remove_Product","Additional_Section_IDs","Option_Group_IDs","Coupon_IDs","Change_pID","pID","pName","pSection","pPrice","pListPrice","pWholesalePrice","pDisplay","pSell","pDescription","pLongDescription"
"0","342","","","PES101V","PES101V","""How To Remove Paint Defects"" video","321","10.95","0","0","0","0","<p>Professional Education Series Video - How to Remove Paint Defects. Easy to follow instructional video. Step by step techniques to remove swirls/holograms, orange peel, oxidation and many other defects. Professional secrets to produce a Show Car Shine!
</p>",""
"0","","","","MFS-TM","MFS-TM","""I Was A Teenage Monster Shirt Painter"" by Von Franco","343","21.95","0","0","0","0","Von Franco Low Brow Legend brings you his hit book on DVD. Explore the history of airbrushed painted monster shirts.",""
