"Remove_Option","optID","optGroup","optName","optName2","optName3","optPriceDiff","optWholesalePriceDiff","optWeightDiff","optStock","optRegExp","optDefault","optAltImage","optAltLargeImage"
"0","194","57","4 oz","","","35.46","0","0","0","","0","",""
"0","195","57","8 oz","","","64.47","0","0","0","","0","",""
"0","2220","57","16 oz","","","117.21","0","0","0","","0","",""
"0","2869","57","4oz PRE REDUCED 1:1","","","35.46","0","0","0","","0","",""
"0","2870","57","8oz PRE REDUCED 1:1","","","64.47","0","0","0","","0","",""
"0","2871","57","16oz PRE REDUCED 1:1","","","117.21","0","0","0","","0","",""
"0","2872","57","Quart","","","188.16","0","0","0","","0","",""
"0","3946","57","12oz AEROSOL Spray Can","","","47.96","0","0","0","","0","",""
"0","206","60","4 oz","","","16.96","0","0","0","","0","",""
"0","207","60","8 oz","","","30.84","0","0","0","","0","",""
"0","2181","60","16 oz","","","56.08","0","0","0","","0","",""
"0","2182","60","Quart","","","85.05","0","0","0","","0","",""
"0","6140","60","12oz Aerosol Spray Can","","","29.46","0","0","0","","0","",""
"0","210","61","4 oz","","","20.8","0","0","0","","0","",""
"0","211","61","8 oz","","","37.83","0","0","0","","0","",""
"0","2183","61","16 oz","","","68.78","0","0","0","","0","",""
"0","2184","61","Quart","","","104.3","0","0","0","","0","",""
"0","6141","61","12oz Aerosol Spray Can","","","33.3","0","0","0","","0","",""
"0","212","62","1 oz","","","4.25","0","0","0","","0","",""
"0","213","62","2 oz","","","7.25","0","0","0","","0","",""
"0","214","62","4 oz","","","12.95","0","0","0","","0","",""
"0","215","62","8 oz","","","18.95","0","0","0","","0","",""
"0","2185","62","16 oz","","","34.95","0","0","0","","0","",""
"0","2186","62","Quart","","","59.34","0","0","0","","0","",""
"0","6142","62","12oz Aerosol Spray Can","","","24.95","0","0","0","","0","",""
"0","216","63","1 oz","","","4.25","0","0","0","","0","",""
"0","217","63","2 oz","","","7.25","0","0","0","","0","",""
"0","218","63","4 oz","","","12.95","0","0","0","","0","",""
"0","219","63","8 oz","","","18.95","0","0","0","","0","",""
"0","2187","63","16 oz","","","34.95","0","0","0","","0","",""
"0","2188","63","Quart","","","56.95","0","0","0","","0","",""
"0","230","66","4 oz","","","22.93","0","0","0","","0","",""
"0","231","66","8 oz","","","41.68","0","0","0","","0","",""
"0","232","66","16 oz","","","75.79","0","0","0","","0","",""
"0","2977","66","4oz PRE REDUCED 1:1","","","22.93","0","0","0","","0","",""
"0","2978","66","8oz PRE REDUCED 1:1","","","41.68","0","0","0","","0","",""
"0","2979","66","16oz PRE REDUCED 1:1","","","75.79","0","0","0","","0","",""
"0","2980","66","Quart","","","125.41","0","0","0","","0","",""
"0","3958","66","12oz AEROSOL Spray Can","","","35.43","0","0","0","","0","",""
"0","235","67","4 oz","","","21.46","0","0","0","","0","",""
"0","236","67","8 oz","","","39.02","0","0","0","","0","",""
"0","237","67","16 oz","","","70.95","0","0","0","","0","",""
"0","2982","67","4oz PRE REDUCED 1:1","","","21.46","0","0","0","","0","",""
"0","2983","67","8oz PRE REDUCED 1:1","","","39.02","0","0","0","","0","",""
"0","2984","67","16oz PRE REDUCED 1:1","","","70.95","0","0","0","","0","",""
"0","2985","67","Quart","","","94.9","0","0","0","","0","",""
"0","2986","67","Gallon","","","299.99","0","0","0","","0","",""
"0","3959","67","12oz AEROSOL Spray Can","","","35.43","0","0","0","","0","",""
"0","240","68","4 oz","","","22.93","0","0","0","","0","",""
"0","241","68","8 oz","","","41.68","0","0","0","","0","",""
"0","2266","68","16 oz","","","75.79","0","0","0","","0","",""
