imageProduct,imageSrc,imageType,imageNumber
"07024","prodimages/semhyperbase.jpg",0,0
"07034","prodimages/semhyperbase.jpg",0,0
"07044","prodimages/semhyperbase.jpg",0,0
"07054","prodimages/semhyperbase.jpg",0,0
"07094","prodimages/semhyperbase.jpg",0,0
"07104","prodimages/semhyperbase.jpg",0,0
"07114","prodimages/semhyperbase.jpg",0,0
"07124","prodimages/semhyperbase.jpg",0,0
"07134","prodimages/semhyperbase.jpg",0,0
"09901","prodimages/09901sm.png",0,0
"09901","prodimages/09901lg.png",1,0
"1/4-1/4Female","prodimages/14fem.jpg",0,0
"1/4NPT","prodimages/14npt.png",0,0
"1/4NPT","prodimages/14npt.png",1,0
"1/8ADAP","prodimages/3-8adaptor.gif",0,0
"1/8ADAP","prodimages/3-8adaptorlg.gif",1,0
"10","prodimages/mack10.gif",0,0
"10","prodimages/mack10.gif",1,0
"10001","prodimages/10001sm.png",0,0
"10001","prodimages/10001lg.png",1,0
"10008","prodimages/ezmixclear.gif",0,0
"10008B","prodimages/ezmixclear.gif",0,0
"1-001","prodimages/1-001-1.gif",0,0
"10016","prodimages/ezmixclear.gif",0,0
"10016B","prodimages/ezmixclear.gif",0,0
"1-002","prodimages/1-002-1.gif",0,0
"10020C","prodimages/10020csm.png",0,0
"10020C","prodimages/10020c1.png",1,0
"10020C","prodimages/10020c2.png",1,1
"10020C","prodimages/10020c3.png",1,2
"10020C","prodimages/10020c4.png",1,3
"10020SQ","prodimages/10020sm.png",0,0
"10020SQ","prodimages/10020lg.png",1,0
"1-003","prodimages/1-003-1.gif",0,0
"10032","prodimages/ezmixclear.gif",0,0
"10032B","prodimages/ezmixclear.gif",0,0
"1-004","prodimages/1-004-1.gif",0,0
"100416","prodimages/416.gif",0,0
"100416","prodimages/416.gif",1,0
"1-005","prodimages/1-005-1.gif",0,0
"1-006","prodimages/1-006-1.gif",0,0
"1-007","prodimages/1-007-1.gif",0,0
"1-008","prodimages/1-008-1.gif",0,0
"1009","prodimages/1009.jpg",0,0
"1009","prodimages/single-edge-razor-blades-large.jpg",1,0
"1-009","prodimages/1-009-1.gif",0,0
"100-G","prodimages/100gtnsm.gif",0,0
"100-G","prodimages/100gtnlg.gif",1,0
"100L","prodimages/100.gif",0,0
"100-LG","prodimages/100lgthsm.gif",0,0
"100-LG","prodimages/100lgthlg.gif",1,0
"100-SF","prodimages/100tnsm.gif",0,0
"100-SF","prodimages/100tnlg.gif",1,0
"100-SG","prodimages/100sgthsm.gif",0,0
"100-SG","prodimages/100sgthlg.gif",1,0
"101","prodimages/machone1.gif",0,0
"101","prodimages/machone1.gif",1,0
"1-01","prodimages/1.gif",0,0
"1010","prodimages/1010sm.gif",0,0
"1010","prodimages/1010.gif",1,0
"1010397","prodimages/125070.jpg",0,0
