"Remove_Option","optID","optGroup","optName","optName2","optName3","optPriceDiff","optWholesalePriceDiff","optWeightDiff","optStock","optRegExp","optDefault","optAltImage","optAltLargeImage"
"0","2983","67","8oz PRE REDUCED 1:1","","","30.09","0","0","0","","0","",""
"0","2984","67","16oz PRE REDUCED 1:1","","","54.71","0","0","0","","0","",""
"0","2985","67","Quart","","","81.41","0","0","0","","0","",""
"0","2986","67","Gallon","","","309.9","0","0","0","","0","",""
"0","3959","67","12oz AEROSOL Spray Can","","","27.05","0","0","0","","0","",""
"0","240","68","4 oz","","","16.55","0","0","0","","0","",""
"0","241","68","8 oz","","","30.09","0","0","0","","0","",""
"0","2266","68","16 oz","","","54.71","0","0","0","","0","",""
"0","2988","68","4oz PRE REDUCED 1:1","","","16.55","0","0","0","","0","",""
"0","2989","68","8oz PRE REDUCED 1:1","","","30.09","0","0","0","","0","",""
"0","2990","68","16oz PRE REDUCED 1:1","","","54.71","0","0","0","","0","",""
"0","2991","68","Quart","","","79.52","0","0","0","","0","",""
"0","3960","68","12oz AEROSOL Spray Can","","","27.05","0","0","0","","0","",""
"0","254","72","1 oz","","","4.95","0","0","0","","0","",""
"0","255","72","2 oz","","","6.95","0","0","0","","0","",""
"0","256","72","4 oz","","","10.95","0","0","0","","0","",""
"0","257","72","8 oz","","","18.95","0","0","0","","0","",""
"0","2286","72","16 oz","","","32.95","0","0","0","","0","",""
"0","2287","72","1oz PRE REDUCED 1:1","","","4.95","0","0","0","","0","",""
"0","3042","72","2oz PRE REDUCED 1:1","","","6.95","0","0","0","","0","",""
"0","3043","72","4oz PRE REDUCED 1:1","","","10.95","0","0","0","","0","",""
"0","3044","72","8oz PRE REDUCED 1:1","","","18.95","0","0","0","","0","",""
"0","3045","72","16oz PRE REDUCED 1:1","","","32.95","0","0","0","","0","",""
"0","3046","72","Quart","","","61.2","0","0","0","","0","",""
"0","3971","72","12oz AEROSOL Spray Can","","","20.95","0","0","0","","0","",""
"0","258","73","1 oz","","","4.95","0","0","0","","0","",""
"0","259","73","2 oz","","","6.95","0","0","0","","0","",""
"0","260","73","4 oz","","","10.95","0","0","0","","0","",""
"0","261","73","8 oz","","","18.95","0","0","0","","0","",""
"0","2300","73","16 oz","","","32.95","0","0","0","","0","",""
"0","2301","73","1oz PRE REDUCED 1:1","","","4.95","0","0","0","","0","",""
"0","3077","73","2oz PRE REDUCED 1:1","","","6.95","0","0","0","","0","",""
"0","3078","73","4oz PRE REDUCED 1:1","","","10.95","0","0","0","","0","",""
"0","3079","73","8oz PRE REDUCED 1:1","","","18.95","0","0","0","","0","",""
"0","3080","73","16oz PRE REDUCED 1:1","","","32.95","0","0","0","","0","",""
"0","3081","73","Quart","","","56.5","0","0","0","","0","",""
